DateTime,Location,Order_Total_Amount,PaymentMethod,Product,Price,Product_Name,Flavour,Size,Product_id,Customer_id,Order_id,Branch_id
25/08/2021 09:00,Chesterfield,5.2,CARD,Flavoured iced latte - Hazelnut , 2.75,Regular Flavoured iced latte , Hazelnut ,Regular,b28fdf7a04ff71abc79433054ad0f81b,5e48e042d87de4e13c8f16bbfecb1cd4,d6fa599bffdebf2b8dacaab74ba41c9f,778d634229c9fe70b66a570d0f4b7292
25/08/2021 09:00,Chesterfield,5.2,CARD,Latte , 2.45, Large Latte ,,Large,cae543c960511a1fdf33a857d578e49a,5e48e042d87de4e13c8f16bbfecb1cd4,d6fa599bffdebf2b8dacaab74ba41c9f,778d634229c9fe70b66a570d0f4b7292
25/08/2021 09:02,Chesterfield,17.3,CARD,Flavoured iced latte - Caramel , 3.25,Large Flavoured iced latte , Caramel ,Large,da4025195f29b1bec11841ccea26163a,2a3d64354c5ef53a01bf80c504779ef5,605d2518b890172819b41146c6f6bb7c,265e0e3166879d81839e05135d9fb3ef
25/08/2021 09:02,Chesterfield,17.3,CARD,Flavoured iced latte - Hazelnut , 2.75, Regular Flavoured iced latte , Hazelnut ,Regular,b28fdf7a04ff71abc79433054ad0f81b,2a3d64354c5ef53a01bf80c504779ef5,605d2518b890172819b41146c6f6bb7c,265e0e3166879d81839e05135d9fb3ef
25/08/2021 09:02,Chesterfield,17.3,CARD,Flavoured iced latte - Caramel , 2.75, Regular Flavoured iced latte , Caramel ,Regular,db9573304f0731f9d6c181fff168ce1b,2a3d64354c5ef53a01bf80c504779ef5,605d2518b890172819b41146c6f6bb7c,265e0e3166879d81839e05135d9fb3ef
25/08/2021 09:02,Chesterfield,17.3,CARD,Flavoured iced latte - Hazelnut , 3.25, Large Flavoured iced latte , Hazelnut ,Large,bc174564c173d8c3a6c9dd9c233a11b2,2a3d64354c5ef53a01bf80c504779ef5,605d2518b890172819b41146c6f6bb7c,265e0e3166879d81839e05135d9fb3ef
25/08/2021 09:02,Chesterfield,17.3,CARD,Flavoured latte - Hazelnut , 2.55, Regular Flavoured latte , Hazelnut ,Regular,a90c9f71ee3036793ab566f9d9821c3e,2a3d64354c5ef53a01bf80c504779ef5,605d2518b890172819b41146c6f6bb7c,265e0e3166879d81839e05135d9fb3ef
25/08/2021 09:02,Chesterfield,17.3,CARD,Flavoured iced latte - Hazelnut , 2.75, Regular Flavoured iced latte , Hazelnut ,Regular,b28fdf7a04ff71abc79433054ad0f81b,2a3d64354c5ef53a01bf80c504779ef5,605d2518b890172819b41146c6f6bb7c,265e0e3166879d81839e05135d9fb3ef
25/08/2021 09:04,Chesterfield,4.6,CARD,Flat white , 2.45,Large Flat white ,,Large,047751baf6b18d3d9aa54fbf93fd7de4,e39b651b30e06b5ca491bed286b88e2d,7d932b135bc2df666babc9f474d4bd7d,d50c4e9b398a8dc72c36ad6fcdbca837
25/08/2021 09:04,Chesterfield,4.6,CARD,Latte , 2.15, Regular Latte ,,Regular,565eec856bdb01313fc001a66dbb3298,e39b651b30e06b5ca491bed286b88e2d,7d932b135bc2df666babc9f474d4bd7d,d50c4e9b398a8dc72c36ad6fcdbca837
